num_proc, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, max, min, avg. w/o max min
2, 527, 556, 593, 520, 469, 427, 600, 486, 426, 394, 600, 394, 624.75
4, 790, 710, 858, 546, 523, 589, 838, 739, 572, 646, 858, 523, 851.375
8, 658, 605, 577, 624, 618, 676, 723, 711, 556, 665, 723, 556, 801.625
16, 775, 952, 720, 721, 603, 835, 677, 786, 834, 854, 952, 603, 969.625
32, 796, 932, 808, 858, 919, 751, 714, 764, 721, 793, 932, 714, 1007.0
64, 842, 624, 724, 648, 842, 836, 948, 864, 835, 953, 953, 624, 1014.5
128, 886, 842, 916, 914, 1059, 1033, 640, 828, 875, 915, 1059, 640, 1113.5
