num_proc, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, max, min, avg. w/o max min
2, 603, 543, 666, 566, 695, 523, 865, 819, 536, 744, 865, 523, 820.0
4, 815, 668, 622, 569, 603, 613, 896, 761, 606, 853, 896, 569, 875.75
8, 1083, 1038, 695, 916, 848, 1023, 670, 555, 652, 1379, 1379, 555, 1107.375
16, 837, 1300, 1307, 931, 716, 835, 870, 731, 715, 852, 1307, 715, 1136.75
32, 948, 840, 942, 1164, 795, 867, 967, 783, 837, 915, 1164, 783, 1132.25
64, 936, 932, 1106, 1165, 1120, 1120, 1108, 1108, 827, 1102, 1165, 827, 1315.5
128, 1255, 1200, 1464, 1196, 820, 1230, 1154, 1044, 1297, 1180, 1464, 820, 1480.0
