num_proc, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, max, min, avg. w/o max min
2, 6495, 6751, 6539, 6767, 7615, 6717, 6463, 6397, 6691, 6507, 7615, 6397, 8367.75
4, 7035, 6847, 7136, 6848, 6922, 7031, 6784, 6876, 6663, 6707, 7136, 6663, 8606.125
8, 7011, 6979, 6904, 6692, 7134, 7059, 7219, 7103, 7069, 7148, 7219, 6692, 8789.75
16, 7047, 7336, 6985, 7109, 7362, 7257, 7362, 7307, 7080, 7009, 7362, 6985, 8981.75
32, 7433, 7289, 7123, 7241, 7238, 7346, 7402, 7083, 7250, 7343, 7433, 7083, 9093.5
64, 7251, 8302, 8315, 7718, 7609, 7472, 7572, 8203, 7805, 8498, 8498, 7251, 9843.125
128, 7655, 7427, 7495, 7296, 7499, 8043, 7882, 8089, 8007, 7488, 8089, 7296, 9610.125
