num_proc, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, max, min, avg. w/o max min
2, 6612, 6170, 7003, 6677, 6829, 6362, 6693, 6487, 6788, 6789, 7003, 6170, 8301.25
4, 6905, 7117, 6983, 6943, 6966, 6850, 6904, 7052, 6996, 7169, 7169, 6850, 8735.625
8, 7799, 7363, 7144, 6924, 6962, 7240, 7219, 7158, 7315, 6975, 7799, 6924, 9012.375
16, 7152, 7251, 7039, 7071, 7231, 7159, 7116, 7271, 7699, 7210, 7699, 7039, 9024.875
32, 7556, 7195, 7384, 7303, 7176, 7295, 7136, 7486, 7143, 7436, 7556, 7136, 9138.75
64, 7399, 7343, 7333, 7854, 8064, 7699, 7287, 7496, 7888, 7695, 8064, 7287, 9507.25
128, 7501, 8135, 8119, 8355, 7695, 7935, 7755, 8056, 7858, 8035, 8355, 7501, 9930.5
