num_proc, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, max, min, avg. w/o max min
2, 5970, 5698, 5681, 5280, 5672, 5596, 5904, 5896, 6003, 5812, 6003, 5280, 5778.625
4, 6038, 6030, 6059, 5967, 6011, 5950, 6072, 5951, 6058, 5825, 6072, 5825, 6008.0
8, 6334, 5824, 6019, 6135, 5985, 6208, 6069, 6223, 6351, 6261, 6351, 5824, 6154.25
16, 6362, 6237, 6351, 6194, 6044, 6100, 6247, 6053, 6355, 6351, 6362, 6044, 6236.0
32, 6253, 6252, 6327, 6094, 6146, 6282, 6508, 6409, 6184, 6378, 6508, 6094, 6278.875
64, 6332, 6379, 6363, 6235, 6302, 6430, 6322, 6288, 6290, 6223, 6430, 6223, 6313.875
128, 6390, 6344, 6405, 6386, 6447, 6452, 6553, 6480, 6394, 6503, 6553, 6344, 6432.125
